Блакитноока кішка,Голубоглазый кот,Blue-eyed cat
Американська короткошерста кішка,Американская короткошерстная кошка,American Shorthair Cat
Азійська напівдовгошерста,Азиатские семиналы,Asian seminals
Орегонський рекс,Орегон Рекс.,Oregon Rex.
Карельський бобтейл,Карельський бобтейл,Karelice Bobtail
Сумксу,Орошение,Irrigation
Піксибоб,Пиксибуба,Pixibob
Четог,Četo.,Četo
Дракон Лі,Дракон Л.,Dragon L.
Бразильська короткошерста кішка,Бразильский короткошерстный кот,Brazilian Shorthair Cat
Японський бобтейл,Японский бобтел,Japanese Bobtel
Бомбейська кішка,Бомбай,Bombay cat
Као-мані,Каора,CAO
Манчкін,Маньчн,Manchkin
Корат,Работа,Work
Абісинська кішка,Абисский кот,Abyssky Cat
Орієнтальний біколор,Восточный биколор,Oriental bicolor
Сингапурська кішка,Сингапур Кот,Singapore cat
Перська кішка,Персидский кот,Persian cat
Російська біла, чорна і таббі,Русский белый, черный и табби,Russian white, black and tabby
Егейська кішка,Эгейский кот,Aegean cat
Арабська мау,Арабский Уиз.,Arabic UIA.
Європейська короткошерста,Европейский короткошерст,European Shorthair
Український левкой,Украинский Левко,Ukrainian Levko
Орієнтальна довгошерста,Восточные длинноволосые,Oriental long-haired
Уральський рекс,Уральский Рекс.,Ural Rex.
Тайська,Тайский,Thai
Уссурі,Узури,Uzuri
Той-бобтейл,He-Bobtail.,He-bobtail
Сомалійська,Сомалийский,Somali
Австралійська димчаста кішка,Австралийская копченая кости,Australian Smoked Cat
Оцикет,Ocixte.,Ocixte
Британська довгошерста,Британский Длинноволосый,British long-haired
Каліфорнійська кішка,Калифорнийский кот,California cat
Тайський бобтейл,Тайский бобтейл,Thai Bobtel
Орієнтальна,Восточный,Oriental
Курильський бобтейл,Курильський бобтейл,Kurilsky Bobtail
Шантільї-Тіфані,Shantilly-Tifany.,Shantilly-Tifany
Сквіттен,Глютен,Gluten
Канаані,Ханаан,Canaan
Шаузі,Переживание,Vestion
Російська блакитна,Русский голубой,Russian Blue
Девон-рекс,Девон-рекс,Devon Rex.
Балійська кішка,Балийский кот,Balinese cat
Сфінкс,Сфинкс,Sphinx
Сіамська кішка,Сиамская кошка,Siamese cat
Тойгер,Доверитель,Putter
Селкірк-рекс,Selkirk-Rex.,Selkirk-Rex.
Американський полідактиль,Американский полидактил,American polydactyl
Мейн-кун,Мейн-кун,Maine Coon
Серегнеті,Средний,The medium
Норвезька лісова,Норвежский лес,Norwegian Forest
Британська короткошерста кішка,Британский короткошерстный кот,British Shorthair Cat
Анатолійська кішка,Анатолийский кот,Anatolian Cat
Сибірська кішка,Сибирский кот,Siberian cat
Турецька ванкедісі,Турецкий Ванкедиси,Turkish vankedisi
Короткошерстий колорпоінт,Shorthared ColorPoint,Shorthaired Colorpoint
Азійська,Азиатский,Asian
Пітерболд,Петербольд,Peterbold
Шартрез,Chartreuse.,Chartreuse
Менська кішка,Мужская кошка,Men's Cat
Тонкінська,Токкин,Tokkin
Сейшельська,Сейшельские острова,Seychelles
ЛаПерм,Лакферм,Lacperm
Американський керл,Американский завиток,American Curl
Американський бобтейл,Американская Бобтел,American Bobtel
Єгипетська мау,Египетский UIA.,Egyptian UIA.
Кімрійська,КИМИНСКАЯ,Kiminskaya
Гімалайська кішка,Гималайский кот,Himalayan cat
Саванна,Саванна,Savannah
Йоркська шоколадна кішка,Йорк шоколадный кот,York Chocolate Cat
Ашера,Ахера,Achera
Гавана браун,Гавана Браун,Gavana Brown
Бенгальська кішка,Бенгальский кот,Bengal cat
Регдол,Закупка,Procure
Бірманська кішка,Бирманский кот,Burmese cat
Турецький ван,Турецкий фургон.,Turkish van.
Соукок,Соукок,Soukok
Корніш-рекс,Корниш-Рекс.,Cornish-rex.
Скотіш фолд,Скотинская складка,Scotish Fold
Нібелунг,Нибелунг.,Nibelung.
Американська жорсткошерста кішка,Американец,American Hard-hearted Cat
Раґамаффін,Ragamaffhin.,Ragamaffhin
Німецький рекс,Немецкий Рекс.,German Rex.
Сноу-шу,Сноу-шу,Snow-Shu.
Пуделькет,Пуделькет,Poodlequet
Бурманська кішка,Бирманский кот,Burmese cat
Донський сфінкс,Дон Сфинкс,Don Sphinx
Екзотична короткошерста,Экзотическая короткая часть,Exotic Shorthair
Турецька ангора,Турецкая ангора,Turkish Angora
Бурмила,Бурмила,Burmila
